Reference,Value,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,29.912000,-54.636000,-90.000000,top
C2,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,25.204000,-71.237500,90.000000,top
C3,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,27.236000,-71.237500,90.000000,top
C6,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,36.770000,-55.906000,0.000000,top
C8,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,78.100000,-55.220000,180.000000,top
C9,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,71.850000,-42.270000,0.000000,top
C10,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,80.929500,-45.462500,-90.000000,top
C11,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,68.328000,-43.032000,90.000000,top
C12,10n,C_0603_1608Metric,68.328000,-50.375000,90.000000,top
C13,1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,60.940500,-53.192000,180.000000,top
C14,1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,60.940500,-55.478000,180.000000,top
C15,22u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,26.229000,-57.557000,0.000000,top
C16,22u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,26.229000,-55.525000,0.000000,top
C17,75p,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,31.204000,-50.300000,180.000000,top
C18,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,55.350000,-54.100000,-90.000000,top
C19,10p,C_0402_1005Metric,66.513723,-47.361134,90.000000,top
C20,10p,C_0402_1005Metric,66.528859,-49.382000,90.000000,top
C21,22u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,49.410000,-43.227758,90.000000,top
C22,22u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,60.962000,-41.600000,90.000000,top
C23,10n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,87.150000,-58.900000,-90.000000,top
C24,10n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,83.150000,-58.900000,-90.000000,top
C25,10n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,85.150000,-58.900000,-90.000000,top
C26,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,64.010000,-61.700000,0.000000,top
FB1,120R,L_0805_2012Metric_Pad1.05x1.20mm_HandSolder,64.242500,-54.208000,-90.000000,top
FB2,100 @ 100MHz,L_0805_2012Metric_Pad1.05x1.20mm_HandSolder,49.430000,-47.214000,-90.000000,top
L1,120R,L_0805_2012Metric_Pad1.05x1.20mm_HandSolder,26.304000,-74.900000,0.000000,top
R4,100k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,33.024000,-48.515000,180.000000,top
R6,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,71.350000,-38.900000,0.000000,top
R7,1k5,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,25.000000,-31.100000,90.000000,top
R8,100,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,79.000000,-38.000000,-90.000000,top
R9,100,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,82.000000,-38.000000,90.000000,top
R10,1k5,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,79.350000,-58.200000,180.000000,top
R11,1k5,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,79.350000,-60.300000,180.000000,top
R12,1k5,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,92.850000,-64.200000,-90.000000,top
R13,1k5,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,90.350000,-64.214500,-90.000000,top
R14,15k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,70.250000,-60.034000,-90.000000,top
R15,1k5,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,57.150000,-30.000000,90.000000,top
R16,1k5,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,36.152000,-34.650000,90.000000,top
R17,150k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,59.650000,-30.000000,90.000000,top
R18,150k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,39.350000,-34.600000,90.000000,top
R19,10K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,79.000000,-65.200000,-90.000000,top
R20,10K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,85.650000,-63.100000,180.000000,top
R21,10K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,81.100000,-65.200000,-90.000000,top
U2,AMS1117-3.3,SOT-223-3_TabPin2,55.200000,-44.400000,0.000000,top
Y1,16MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,64.000000,-48.252313,-90.000000,top
